      Date,    Flow_cfs
1/1/2015,0.96
1/2/2015,0.97
1/3/2015,0.98
1/4/2015,1
1/5/2015,1
1/6/2015,1.2
1/7/2015,1.1
1/8/2015,1.1
1/9/2015,1.1
1/10/2015,1.1
1/11/2015,1.2
1/12/2015,1.3
1/13/2015,1.2
1/14/2015,1.1
1/15/2015,1.1
1/16/2015,1.1
1/17/2015,1.1
1/18/2015,1.1
1/19/2015,1.1
1/20/2015,1.1
1/21/2015,0.98
1/22/2015,1
1/23/2015,1
1/24/2015,1
1/25/2015,1.1
1/26/2015,1.1
1/27/2015,1.2
1/28/2015,1.2
1/29/2015,1.2
1/30/2015,1.2
1/31/2015,1.2
2/1/2015,1.2
2/2/2015,1.2
2/3/2015,1.3
2/4/2015,1.5
2/5/2015,1.5
2/6/2015,1.5
2/7/2015,1.6
2/8/2015,1.6
2/9/2015,1.8
2/10/2015,1.8
2/11/2015,1.6
2/12/2015,1.6
2/13/2015,1.5
2/14/2015,1.5
2/15/2015,1.5
2/16/2015,1.5
2/17/2015,1.4
2/18/2015,1.4
2/19/2015,1.3
2/20/2015,1.3
2/21/2015,1.3
2/22/2015,1.2
2/23/2015,1.2
2/24/2015,1.3
2/25/2015,1.3
2/26/2015,1.3
2/27/2015,1.3
2/28/2015,1.3
3/1/2015,1.3
3/2/2015,1.3
3/3/2015,1.3
3/4/2015,1.2
3/5/2015,1.2
3/6/2015,1.2
3/7/2015,1.3
3/8/2015,1.3
3/9/2015,1.3
3/10/2015,1.3
3/11/2015,1.3
3/12/2015,1.3
3/13/2015,1.3
3/14/2015,1.3
3/15/2015,1.3
3/16/2015,1.3
3/17/2015,1.4
3/18/2015,1.4
3/19/2015,1.4
3/20/2015,1.4
3/21/2015,1.4
3/22/2015,1.4
3/23/2015,1.4
3/24/2015,1.5
3/25/2015,1.5
3/26/2015,1.4
3/27/2015,1.5
3/28/2015,1.4
3/29/2015,1.4
3/30/2015,1.4
3/31/2015,1.4
4/1/2015,1.4
4/2/2015,1.4
4/3/2015,1.4
4/4/2015,1.4
4/5/2015,1.4
4/6/2015,1.4
4/7/2015,1.4
4/8/2015,1.5
4/9/2015,1.5
4/10/2015,1.4
4/11/2015,1.4
4/12/2015,1.4
4/13/2015,1.4
4/14/2015,1.4
4/15/2015,1.4
4/16/2015,1.6
4/17/2015,1.6
4/18/2015,1.7
4/19/2015,1.7
4/20/2015,1.6
4/21/2015,1.6
4/22/2015,1.6
4/23/2015,1.6
4/24/2015,1.7
4/25/2015,2.2
4/26/2015,2.4
4/27/2015,2.3
4/28/2015,2.2
4/29/2015,2.2
4/30/2015,2.2
5/1/2015,2.1
5/2/2015,2.1
5/3/2015,2
5/4/2015,2
5/5/2015,2
5/6/2015,2.3
5/7/2015,2.4
5/8/2015,2.3
5/9/2015,2.6
5/10/2015,2.8
5/11/2015,2.8
5/12/2015,2.7
5/13/2015,2.6
5/14/2015,2.6
5/15/2015,2.7
5/16/2015,3.1
5/17/2015,18
5/18/2015,14
5/19/2015,11
5/20/2015,9.1
5/21/2015,7.6
5/22/2015,6.8
5/23/2015,6.4
5/24/2015,6
5/25/2015,5.6
5/26/2015,5.4
5/27/2015,5.3
5/28/2015,5.2
5/29/2015,4.8
5/30/2015,4.6
5/31/2015,4.3
6/1/2015,4.1
6/2/2015,4
6/3/2015,3.8
6/4/2015,3.6
6/5/2015,3.5
6/6/2015,3.6
6/7/2015,3.7
6/8/2015,3.4
6/9/2015,3.2
6/10/2015,3.1
6/11/2015,3.2
6/12/2015,3.1
6/13/2015,2.9
6/14/2015,2.8
6/15/2015,2.8
6/16/2015,2.7
6/17/2015,2.6
6/18/2015,2.5
6/19/2015,2.4
6/20/2015,2.3
6/21/2015,2.2
6/22/2015,2.1
6/23/2015,2.1
6/24/2015,2
6/25/2015,1.9
6/26/2015,1.9
6/27/2015,1.8
6/28/2015,1.7
6/29/2015,1.6
6/30/2015,1.6
7/1/2015,1.5
7/2/2015,1.5
7/3/2015,1.5
7/4/2015,1.5
7/5/2015,1.5
7/6/2015,1.6
7/7/2015,1.6
7/8/2015,1.6
7/9/2015,1.9
7/10/2015,1.5
7/11/2015,1.5
7/12/2015,1.4
7/13/2015,1.4
7/14/2015,1.3
7/15/2015,1.3
7/16/2015,1.3
7/17/2015,1.3
7/18/2015,1.2
7/19/2015,1.2
7/20/2015,1.1
7/21/2015,1.1
7/22/2015,1.1
7/23/2015,1.1
7/24/2015,1
7/25/2015,1.1
7/26/2015,1
7/27/2015,1
7/28/2015,1
7/29/2015,1
7/30/2015,0.96
7/31/2015,0.92
8/1/2015,0.9
8/2/2015,0.92
8/3/2015,1.3
8/4/2015,1.1
8/5/2015,0.96
8/6/2015,0.95
8/7/2015,1
8/8/2015,1.1
8/9/2015,0.99
8/10/2015,0.92
8/11/2015,0.87
8/12/2015,0.84
8/13/2015,0.82
8/14/2015,0.8
8/15/2015,0.78
8/16/2015,0.78
8/17/2015,0.76
8/18/2015,0.76
8/19/2015,0.76
8/20/2015,0.75
8/21/2015,0.73
8/22/2015,0.72
8/23/2015,0.75
8/24/2015,0.77
8/25/2015,0.73
8/26/2015,0.8
8/27/2015,0.81
8/28/2015,0.75
8/29/2015,0.71
8/30/2015,0.69
8/31/2015,0.7
9/1/2015,0.69
9/2/2015,0.65
9/3/2015,0.65
9/4/2015,0.63
9/5/2015,0.62
9/6/2015,0.67
9/7/2015,0.67
9/8/2015,0.66
9/9/2015,0.65
9/10/2015,0.63
9/11/2015,0.62
9/12/2015,0.58
9/13/2015,0.59
9/14/2015,0.6
9/15/2015,0.81
9/16/2015,1
9/17/2015,0.89
9/18/2015,0.8
9/19/2015,0.79
9/20/2015,0.76
9/21/2015,0.74
9/22/2015,0.71
9/23/2015,0.69
9/24/2015,0.68
9/25/2015,0.65
9/26/2015,0.64
9/27/2015,0.65
9/28/2015,0.65
9/29/2015,0.68
9/30/2015,0.69
10/1/2015,0.67
10/2/2015,0.81
10/3/2015,0.88
10/4/2015,0.84
10/5/2015,0.83
10/6/2015,0.84
10/7/2015,0.85
10/8/2015,0.85
10/9/2015,0.85
10/10/2015,0.82
10/11/2015,0.77
10/12/2015,0.82
10/13/2015,0.84
10/14/2015,0.85
10/15/2015,0.85
10/16/2015,0.85
10/17/2015,0.86
10/18/2015,0.91
10/19/2015,0.95
10/20/2015,0.91
10/21/2015,0.89
10/22/2015,0.91
10/23/2015,0.91
10/24/2015,0.91
10/25/2015,0.86
10/26/2015,0.85
10/27/2015,0.85
10/28/2015,0.85
10/29/2015,0.87
10/30/2015,0.91
10/31/2015,0.88
11/1/2015,0.88
11/2/2015,0.86
11/3/2015,0.9
11/4/2015,0.91
11/5/2015,0.91
11/6/2015,0.92
11/7/2015,0.92
11/8/2015,0.91
11/9/2015,0.91
11/10/2015,0.95
11/11/2015,0.93
11/12/2015,0.92
11/13/2015,0.92
11/14/2015,0.91
11/15/2015,0.91
11/16/2015,0.92
11/17/2015,0.91
11/18/2015,0.91
11/19/2015,0.91
11/20/2015,0.93
11/21/2015,0
11/22/2015,0
11/23/2015,0
11/24/2015,0
11/25/2015,0.92
11/26/2015,0
11/27/2015,0
11/28/2015,0
11/29/2015,0
11/30/2015,0
12/1/2015,0
12/2/2015,0
12/3/2015,0.96
12/4/2015,0.91
12/5/2015,0.88
12/6/2015,0.89
12/7/2015,0.91
12/8/2015,0.92
12/9/2015,0.93
12/10/2015,0.93
12/11/2015,0.95
12/12/2015,0.93
12/13/2015,0
12/14/2015,0
12/15/2015,0
12/16/2015,0
12/17/2015,0
12/18/2015,0
12/19/2015,1
12/20/2015,1.1
12/21/2015,1
12/22/2015,0
12/23/2015,0
12/24/2015,0
12/25/2015,0
12/26/2015,0
12/27/2015,0
12/28/2015,0
12/29/2015,0
12/30/2015,0
12/31/2015,0
1/1/2016,0
